,trade_date,price
1007,20001124,19.6
1008,20001127,19.36
1009,20001128,19.75
1010,20001129,19.8
1011,20001130,20.89
1012,20001201,20.65
1013,20001205,19.97
1014,20001206,19.6
1015,20001207,19.56
1016,20001208,19.34
1017,20001211,18.82
1018,20001212,18.78
1019,20001213,18.95
1020,20001214,18.94
1021,20001215,18.67
1022,20001218,18.78
1023,20001219,18.97
1024,20001220,19.16
1025,20001221,19.23
1026,20001222,19.08
1027,20001225,18.5
1028,20001226,18.2
1029,20001227,18.07
1030,20001228,17.83
1031,20001229,18.05
1032,20010102,12.121
1033,20010103,12.4553
1034,20010104,12.2324
1035,20010105,11.9964
1036,20010108,11.944
1037,20010109,11.9046
1038,20010110,11.9636
1039,20010111,12.1538
1040,20010112,12.0095
1041,20010115,11.5572
1042,20010116,11.5834
1043,20010117,11.3737
1044,20010118,11.4392
1045,20010119,11.5113
1046,20010205,11.7342
1047,20010206,11.6555
1048,20010207,11.2884
1049,20010208,10.5542
1050,20010209,10.8099
1051,20010212,11.2491
1052,20010213,11.8391
1053,20010214,11.6752
1054,20010215,11.7998
1055,20010216,12.0358
1056,20010219,12.0358
1057,20010220,12.0489
1058,20010221,11.6228
1059,20010222,11.4195
1060,20010223,11.3868
1061,20010226,12.121
1062,20010227,12.0685
1063,20010228,11.9243
1064,20010301,12.1931
1065,20010302,12.3242
1066,20010305,12.3439
1067,20010306,12.1996
1068,20010307,12.3504
1069,20010308,12.4029
1070,20010309,12.3897
1071,20010312,12.2128
1072,20010313,12.0751
1073,20010314,12.1275
1074,20010315,12.3766
1075,20010316,12.3111
1076,20010319,12.3635
1077,20010320,12.8224
1078,20010321,12.6716
1079,20010322,12.7765
1080,20010323,12.3701
1081,20010326,12.5733
1082,20010327,12.5799
1083,20010328,12.652
1084,20010329,12.5602
1085,20010330,12.77
1086,20010402,13.0453
1087,20010403,13.006
1088,20010404,12.9601
1089,20010405,13.3206
1090,20010406,13.1764
1091,20010409,13.0912
1092,20010410,13.2354
1093,20010411,12.9928
1094,20010412,12.9338
1095,20010413,12.9732
1096,20010416,13.1108
1097,20010417,13.1502
1098,20010418,13.4058
1099,20010419,13.7926
1100,20010420,13.6418
1101,20010423,13.4911
1102,20010424,14.8415
1103,20010425,14.435
1104,20010426,14.0286
1105,20010427,14.1532
1106,20010430,14.1204
1107,20010508,14.5727
1108,20010509,14.5268
1109,20010510,14.8349
1110,20010514,14.9464
1111,20010515,15.1889
1112,20010516,14.9988
1113,20010517,14.6514
1114,20010518,15.3135
1115,20010521,16.0739
1116,20010522,15.91
1117,20010523,17.09
1118,20010524,17.1752
1119,20010525,17.503
1120,20010528,17.5161
1121,20010529,16.7622
1122,20010530,16.8409
1123,20010531,17.5358
1124,20010601,17.3129
1125,20010604,16.9064
1126,20010605,16.7622
1127,20010606,17.1752
1128,20010607,16.7557
1129,20010608,16.4803
1130,20010612,16.3886
1131,20010613,16.5852
1132,20010614,16.9654
1133,20010615,16.8933
1134,20010618,16.559
1135,20010619,16.6901
1136,20010620,16.9523
1137,20010622,16.9458
1138,20010625,16.6573
1139,20010626,16.6901
1140,20010627,16.5197
1141,20010628,16.0936
1142,20010629,15.7527
1143,20010702,15.7199
1144,20010703,15.7723
1145,20010704,15.6216
1146,20010705,15.6019
1147,20010706,15.5626
1148,20010709,15.0054
1149,20010710,15.6478
1150,20010711,15.6216
1151,20010712,15.4905
1152,20010713,15.4511
1153,20010716,15.2414
1154,20010717,15.1758
1155,20010718,15.0054
1156,20010719,14.8284
1157,20010720,15.1103
1158,20010723,14.8808
1159,20010724,14.8808
1160,20010725,14.8874
1161,20010726,14.6645
1162,20010727,14.1335
1163,20010730,13.0453
1164,20010731,12.711
1165,20010801,13.242
1166,20010802,13.0715
1167,20010803,13.1108
1168,20010806,12.7241
1169,20010807,12.9207
1170,20010808,12.9273
1171,20010809,13.2026
1172,20010810,13.6222
1173,20010813,13.4452
1174,20010814,13.4714
1175,20010815,13.4779
1176,20010816,13.1961
1177,20010817,12.8027
1178,20010820,13.1174
1179,20010821,13.1436
1180,20010822,13.1961
1181,20010823,13.0453
1182,20010824,12.9797
1183,20010827,12.357
1184,20010828,12.2586
1185,20010829,12.1406
1186,20010830,12.2128
1187,20010831,12.1603
1188,20010903,12.1472
1189,20010904,12.4881
1190,20010905,12.4684
1191,20010906,12.3766
1192,20010907,11.8194
1193,20010910,12.062
1194,20010911,11.9768
1195,20010913,11.7342
1196,20010914,11.3409
1197,20010917,11.0
1198,20010918,11.2688
1199,20010919,11.3409
1200,20010920,11.4261
1201,20010921,11.0197
1202,20010924,10.9738
1203,20010925,11.1639
1204,20010926,11.1704
1205,20010927,11.1704
1206,20010928,11.1901
1207,20011008,11.1114
1208,20011009,11.3343
1209,20011010,11.0393
1210,20011011,10.6198
1211,20011012,10.8033
1212,20011015,10.7509
1213,20011016,10.4231
1214,20011017,10.4166
1215,20011018,10.0298
1216,20011019,9.4201
1217,20011022,8.8564
1218,20011023,9.7414
1219,20011024,10.4887
1220,20011025,10.6722
1221,20011026,10.6722
1222,20011029,11.0524
1223,20011030,10.9017
1224,20011031,10.7837
1225,20011101,11.0197
1226,20011102,11.1311
1227,20011105,11.0
1228,20011106,10.7837
1229,20011107,9.997
1230,20011108,10.2265
1231,20011109,10.2986
1232,20011112,10.3051
1233,20011113,10.0954
1234,20011114,10.1281
1235,20011115,10.2265
1236,20011116,10.4952
1237,20011119,10.7378
1238,20011121,10.9279
1239,20011122,11.0066
1240,20011123,10.9344
1241,20011126,10.7902
1242,20011127,11.0131
1243,20011128,11.2688
1244,20011129,11.2491
1245,20011130,11.3081
1246,20011203,11.472
1247,20011204,11.531
1248,20011205,11.0983
1249,20011206,11.2491
1250,20011207,11.1573
1251,20011210,11.0918
1252,20011211,11.0262
1253,20011212,10.8754
1254,20011213,10.646
1255,20011214,10.6853
1256,20011217,10.7771
1257,20011218,10.6263
1258,20011219,10.5936
1259,20011220,10.3576
1260,20011221,10.2265
1261,20011224,10.0822
1262,20011225,10.0822
1263,20011226,10.6526
1264,20011227,10.5346
1265,20011228,10.4231
1266,20011231,10.5149
1267,20020104,10.4166
1268,20020107,10.3576
1269,20020108,10.3379
1270,20020109,10.2002
1271,20020110,10.0232
1272,20020111,9.6692
1273,20020114,9.3021
1274,20020115,9.1841
1275,20020116,9.2956
1276,20020117,8.7843
1277,20020118,8.6728
1278,20020121,7.9648
1279,20020122,7.801
1280,20020123,8.5155
1281,20020124,8.5221
1282,20020125,8.6204
1283,20020128,7.9321
1284,20020129,8.2598
1285,20020130,8.3188
1286,20020131,9.1514
1287,20020201,9.1448
1288,20020204,9.1973
1289,20020205,9.2104
1290,20020206,8.9875
1291,20020207,9.1776
1292,20020208,9.1579
1293,20020225,9.3153
1294,20020226,9.2956
1295,20020227,9.2497
1296,20020228,9.23
1297,20020301,9.0989
1298,20020304,9.2038
1299,20020305,9.4464
1300,20020306,9.5447
1301,20020307,9.7741
1302,20020308,9.9708
1303,20020311,10.1937
1304,20020312,9.9249
1305,20020313,9.7676
1306,20020314,10.0495
1307,20020315,9.7282
1308,20020318,9.82
1309,20020319,10.0298
1310,20020320,10.2002
1311,20020321,10.1412
1312,20020322,10.0495
1313,20020325,10.1085
1314,20020326,10.4035
1315,20020327,10.41
